fr_number,v_id,v_bbox,lp_bbox,lp_bbox_score,lp,lp_score
135,337,78.16057118059103 776.1766314795946 532.6658407341831 1193.7903743826776,226.22735595703125 1048.1038818359375 371.5222473144531 1092.5867919921875,0.6163283586502075,AKE4DMV,0.40123308792823387
136,337,77.51995149752977 776.6735513090382 532.9242192860551 1194.680533497572,226.20335388183594 1048.107421875 371.5407409667969 1092.584228515625,0.6163232922554016,AKE4DMV,0.47692098373029
137,337,77.91893260154305 779.2109898488529 536.6905903146337 1196.896863917097,228.96768188476562 1055.889404296875 369.404541015625 1099.6083984375,0.6141040921211243,AK64DMV,0.5276983484885021
138,337,77.46055312950105 780.1878107374332 538.6618556599775 1197.7099370783124,228.9956817626953 1055.8709716796875 369.34527587890625 1099.58203125,0.614590585231781,AK64DMV,0.4729272280663611
139,337,75.87004589012824 781.0636378463857 538.2258408350733 1198.4080232429237,228.72976684570312 1057.3924560546875 362.36419677734375 1105.380126953125,0.6299000382423401,AKE4DHV,0.4535328221135035
140,337,75.0717608793104 781.3505846950887 538.2084255633661 1198.5655131679218,228.73004150390625 1057.3836669921875 362.38018798828125 1105.404296875,0.630083441734314,AKE4DHV,0.4535328221135035
141,337,73.41828326399326 783.658789494872 539.9878604560608 1200.027388813378,224.48385620117188 1063.6292724609375 364.6435852050781 1107.7857666015625,0.6630711555480957,AKE4@HV,0.4912885386496917
142,337,72.22363115946229 784.672005269031 541.1937620455653 1200.4377602009076,224.45274353027344 1063.6424560546875 364.64129638671875 1107.787353515625,0.6632202863693237,AKE4@HV,0.4912885386496917
143,337,70.60427618636734 786.2407002755943 540.9373341001765 1200.575488506744,226.096923828125 1067.205810546875 365.24530029296875 1111.508056640625,0.6480732560157776,AK64DMV,0.6073847483069176
144,337,69.7691896121618 787.0119079280306 541.0054647965139 1200.3275644184082,226.0340118408203 1067.2012939453125 365.2207336425781 1111.506103515625,0.6484388113021851,AK64DMV,0.6073847483069176
145,337,67.74513941705382 788.0518305402268 539.8854059641036 1200.4073216141628,224.2730255126953 1069.22412109375 370.6845397949219 1110.180908203125,0.627234160900116,AK64DMV,0.6752797952171208
