fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
78,6,1100.461181640625 730.5162963867188 1209.3031005859375 762.8907470703125,0.4756626784801483,JO6€PD,0.2239683383885672
79,6,1100.51318359375 730.5220336914062 1209.3345947265625 762.8748168945312,0.47529205679893494,JO6€PD,0.2239683383885672
80,6,1101.046875 726.63427734375 1209.274658203125 767.6922607421875,0.4651804268360138,JOGEPD,0.30664547800068875
81,6,1101.187255859375 726.6866455078125 1209.1812744140625 767.6746215820312,0.46782252192497253,JOGEPD,0.30664547800068875
82,6,1109.060791015625 732.9215087890625 1209.5887451171875 769.6107177734375,0.5492175221443176,CJOGEPD,0.1886484158020463
83,6,1109.081787109375 732.9479370117188 1209.583251953125 769.6168212890625,0.5492732524871826,CJOGEPD,0.1886484158020463
84,6,1108.1019287109375 733.9144897460938 1209.9014892578125 770.8661499023438,0.5619337558746338,6JO6E,0.10338392333403155
85,6,1108.1253662109375 733.9168090820312 1209.8973388671875 770.8656616210938,0.5623138546943665,6JO6E,0.10338392333403155
86,6,1107.9840087890625 735.1530151367188 1214.9603271484375 773.5767822265625,0.5053913593292236,GJOGOD,0.12828604720764933
87,6,1107.98388671875 735.1206665039062 1214.8907470703125 773.5140380859375,0.5051258206367493,GJOGOD,0.20593581696808153
88,6,1109.8631591796875 738.4797973632812 1212.5098876953125 776.246826171875,0.4880176782608032,CJO6&0,0.4783116758955778
89,6,1109.910888671875 738.5140991210938 1212.465576171875 776.2819213867188,0.48765289783477783,CJO6&0,0.4794353740320569
90,6,1113.739013671875 740.2434692382812 1211.1640625 777.244873046875,0.5144029259681702,0JO6@O,0.08367649096688601
91,6,1113.70068359375 740.2418823242188 1211.1923828125 777.2522583007812,0.5145393013954163,0JO6@O,0.08367649096688601
92,6,1113.55859375 745.49560546875 1203.0634765625 778.7649536132812,0.46204274892807007,JOG@,0.23968275251455368
93,6,1113.5589599609375 745.5001831054688 1203.1624755859375 778.76513671875,0.46116843819618225,JOG@,0.5910005671654462
94,6,373.6611328125 695.9222412109375 459.3287658691406 731.8316650390625,0.45195692777633667, ,0.0
95,6,373.62811279296875 695.9305419921875 459.35284423828125 731.7908325195312,0.4504263997077942, ,0.0
96,6,1111.3575439453125 749.6921997070312 1218.519287109375 782.6983032226562,0.39166152477264404,CWOGEPD,0.057611892581903655
